股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
2716,2015/6/30,2604177310,2604177310,2580087540,2409024079,7303716.87,1437532.6,70582059.89,94084035.13,-2343882.69,-6195790.37,24348722.5,49019042.8,87870.25,73279895.05,1072203.19,72207691.86,72207691.86,72198033.59,72198033.59
2716,2015/9/30,4074981711,4074981711,4021702737,3751934349,7447565.39,3342333.04,123112405.2,142533976.7,-6667891.49,-6097003.62,51262883.14,61333515.86,87873.22,112508525.8,6999788.78,105508737,105508737,105412757.6,105412757.6
2716,2015/12/31,5788750956,5788750956,5754129731,5319663884,13793303.96,4272242.39,213724766.6,198173086,4502447.75,-1290747.12,33566607.8,80552442.29,949528.32,113169521.8,-4619339.58,117788861.4,117788861.4,117816560.2,117816560.2
2716,2016/3/31,1321992481,1321992481,1284031036,1207134133,655423.06,1381518.91,31435932.46,66461040.68,-23037012.38,5259211.01,39752950.11,4309654.45,11247507.86,32815096.7,645254.4,32169842.3,32169842.3,32160526.21,32160526.21
2716,2016/6/30,3574768349,3574768349,3476647604,3296390944,2519627.29,3595214.47,76317665.03,119761393,-21937240.58,5017139.57,99883028.83,8987876.06,27459583.08,81411321.81,1347796.44,80063525.37,80063525.37,80098710.23,80098710.23
2716,2016/9/30,5407152726,5407152726,5250714537,4911632471,4954473.42,5232833.09,169177799.1,194154608.5,-34437647.26,-2923908.36,153561279.3,11528863.02,28531139.5,136559002.8,4000366.36,132558636.4,132558636.4,132606922,132606922
2716,2016/12/31,7852301664,7852301664,7712992609,7203783110,21265469.4,7042979.71,200381099.4,286344262.7,-5824312.36,9671233.33,147418504.1,35739378.96,35343166.89,147814716.1,5095991.92,142718724.2,144511342.8,142942319.1,144734937.7
2721,2015/3/31,1335481687,1335481687,1302380714,1161138793,7901910.77,83517705.42,27676277.75,23547353.15,-1401326.18,-10184996.81,38782176.39,7730611.51,20000,46492787.9,11958959.45,34533828.45,31955598.57,34510168.96,31931939.08
2721,2015/6/30,2753138754,2753138754,2662162672,2375121063,14975976.39,148875229,54468770.66,50454837.81,18266795.35,6983673.62,99406586.35,16613397.14,321422.08,115698561.4,30131055.3,85567506.11,82648448.98,85541697.62,82631234.72
2721,2015/9/30,4665040423,4665040423,4541857794,4102941580,25450089.77,212352138,90822493.43,93265079.95,17026412.69,9807993.4,124181443.9,20259332.51,674616.24,143766160.1,36871897.49,106894262.7,91677851.38,106847049,91646359.91
2721,2015/12/31,7637131951,7637131951,7452153662,6803497554,39486368.68,299375692.1,120543779.2,155874192.9,33376074.46,24113465.76,222480030.7,36982656.29,1963695.37,257498991.6,66381710.13,191117281.5,152631890,191546631.5,152918266.5
2721,2016/3/31,3237091747,3197392133,3082117918,2898177483,15134621.34,80532588.65,32849198.71,58228217.53,-10718846.32,8870877.99,32166580.92,8275080.99,127446.19,40314215.72,9727703.97,30586511.75,26206022.72,30584968.43,26205235.63
2721,2016/6/30,6285559768,6204632986,6005974711,5609054690,26832771.18,149277539.3,70360740.9,139035457.6,-2287215.61,-2798974.04,75478856.89,23689060.13,258842.38,98909074.64,25976898.81,72932175.83,51113388.06,73244157.01,51273634.74
2721,2016/9/30,8615587692,8490399945,8258836436,7621917467,39009345.28,225451810.4,119970159.7,213770997.3,16899126.18,-49736995.15,142055315.7,31757886.57,375114.72,173438087.6,35597009.18,137841078.4,81589573.55,138034808.3,81674876.03
2721,2016/12/31,10773012645,10773012645,10271321283,9371848818,58456780.5,336623464.7,170455677.8,283534296.3,50402245.41,-76546841.13,334340975.1,59313022.94,12146010.8,381507987.2,70607479.17,310900508.1,174065009.3,308955162.4,172847277.9
2734,2015/3/31,218262216.6,218262216.6,203277796.5,167559307.8,1804.25,9411370.54,22667620.89,2074413.36,1563279.69,1147397.94,16131817.98,188338.08,15000,16305156.06,2174503.92,14130652.14,14119085.15,14161790.7,14142691.29
