股票代码,统计日期,货币资金,应收账款,预付账款,其他应收款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,应付账款,预收账款,应付职工薪酬,应交税费,其他应付款,流动负债合计,非流动负债合计,负债合计,实收资本（股本）,资本公积,盈余公积,归属于母公司所有者权益合计,所有者权益合计,负债及股东权益总计,流动资产/流动负债,有形资产/总资产
25,2016/9/30,164058426.7,2371704.69,8228194.71,9967724.31,8054506.83,338200232,130839375.6,53967276.67,828581739.8,1166781972,21245494.85,8877019.81,21977131.78,8981217.39,182611185.4,243692049.3,18051444.6,261743493.9,297281600,564192605.5,2952586.32,894384392.2,905038477.9,1166781972,1.38781808,0.401994219
25,2016/12/31,218497640.1,113736.64,8436668.35,16586387.45,11038915.69,344969305.1,129226236.2,53739118.72,844031769.9,1189001075,23599227.33,11930493.02,27144631.18,10081678.6,126045854.5,248879711,31585027.8,280464738.8,297281600,564192605.5,2952586.32,895362615,908536336.2,1189001075,1.386088499,0.398818429
34,2015/3/31,18062903.43,27295924.8,3035452.94,1805485.24,103319664.7,245730872.6,58112363.49,4691137.01,200171964.6,445902837.2,41768449.49,192961285.7,4174459.78,1837534.84,10224633.3,255814707.4,1463512.27,257278219.7,357973531,640726805.6,65738593.5,188624617.6,188624617.6,445902837.2,0.960581489,0.681411309
34,2015/6/30,42574776.7,28668654.69,6914152.25,1482969.86,103189535.8,247464341.7,56956951.08,4640796.98,198912242.7,446376584.4,39761087.55,191854730.4,4514936.42,3757237.97,12500617.21,257236953.8,730445.18,257967399,357973531,640726805.6,65738593.5,188409185.5,188409185.5,446376584.4,0.962009299,0.681983113
34,2015/9/30,45730580.66,29863466.42,5248574.72,1667006.39,101400033.3,228020377.6,56834156.44,4602774.46,217368623.9,445389001.5,35267325.06,192550739.4,4808096.03,4341777.95,11451376.34,252846789.3,390183.64,253236972.9,357973531,640726805.6,65738593.5,192152028.6,192152028.6,445389001.5,0.90181243,0.639563467
34,2015/12/31,114346440.1,23164403.2,2448331.51,2947467,99185528.49,343846577.5,55791316.08,4540116.92,104161721.1,448008298.7,30225580.2,193391843.7,7331856.12,7013386.03,19340782.11,260862830.2,145609.62,261008439.8,357973531,640726805.6,65738593.5,186999858.9,186999858.9,448008298.7,1.318112578,0.892032346
34,2016/3/31,2137276682,4894659627,1719339009,514849293.3,4961875284,15110087583,461533537.1,56489776.89,1536246834,16646334417,2912464771,938477229.6,348589724.1,140486736.9,299124065.3,12230817066,2054636522,14285453589,654070434,2524429892,65738593.5,2360880828,2360880828,16646334417,1.235411134,0.935438441
34,2016/6/30,1779379423,5357367962,1859608419,250768839.9,4627761990,14820481910,402022178.5,50700000,1471041454,16291523364,3420948812,741282737.9,292870507.7,155772755.5,259531855.1,12146401345,1659472096,13805873441,654070434,2380627616,65738593.5,2485649923,2485649923,16291523364,1.220154142,0.934381871
34,2016/9/30,1410261046,5855021933,1509946262,254800051.3,4564913103,14521865164,404724377.5,53625246.67,1466442567,15988307731,3341115095,708797111.1,297840049.6,153238943.7,242541392.8,11756052206,1652511478,13408563684,654070434,2380627616,65738593.5,2576659395,2579744047,15988307731,1.235267155,0.933594086
34,2016/12/31,1143255726,6621833967,2157674330,261583360.1,4580372081,15607897621,214139948.1,52615806.37,1429271955,17037169576,3770597216,942515953.3,352866983.3,286970010.3,216599406.2,12761698325,1624798035,14386496361,654070434,2380627616,65738593.5,2648163406,2650673215,17037169576,1.223026687,0.928677589
