uid,time,content,v2_up_count
1071010240,0,我觉得可以理解 那一瞬间感觉妈妈都要流眼泪了,8
853163904,0,李艾真的是。。。。。,
2094311579,897,更新了,1
550232494,0,难道不是吗 我煮饺子也要加凉水再煮一会的,
1628148923,0,好喜欢爸爸说英语，好好听，哈哈,
2389445644,1000,时长感人啊,3
1545691439,1150,来看小米小宝和西西,
462337146,2000,来啦第一,103
2621520933,2010,看完第二季更新的啦，回来看第一季的👀,7
1482357063,2570,第一！,50
1948043882,2024,标题搞事,5
772890459,2204,说的太对了,5
2031990540,3064,第一！,47
3564261096,5000,第一,4
2486285696,5000,啊啊啊,5
4155552599,5000,第一,4
2180909273,5953,爸爸：你礼貌吗,1
3179655821,5000,来了,3
266599320,6959,来了来了,21
3675025952,6000,第一,7
2716899621,6259,来看魏爸爸了,4
2484193770,6000,打卡,6
3392844625,7101,来喽来喽🍊🍊🍊🍊,7
2272480386,7108,第一！,3
462337146,8000,魏晨我来啦,20
4088589755,8960,来了老魏,4
207170046,8698,标题是我想做的,3
3802720809,8130,来啦,3
3863820935,9530,来了,4
2788146117,9139,等到了！！！,4
1166076100,9785,来了来了,3
111890952,9070,来了,3
1883344109,10657,第一第一,4
3570446855,10739,第一,3
2921694971,10664,好看,1
161347498,10963,第一,3
2300659546,10635,打卡,
3275928971,10831,就喜欢不准时！！,
1085193901,11709,来了来了,2
131762439,11879,来了~,11
4074739041,11000,呜呜呜小米我还爱,1
3523878763,11114,来看了,1
155038993,12754,来啦,5
42989815,12161,来了来了,1
2043277444,12028,来了,2
2901923678,12423,来了,2
4289627590,13015,明天考试救命啊，完蛋了！,1
414108922,13924,第一,6
2798060607,13706,小米啊啊啊啊啊啊,
3015086544,13481,来了来了,1
2442588828,13924,第一,
633647461,14904,啦啦啦啦啦！,9
3100802772,14895,这标题，哈哈哈哈,9
2720868726,14829,第一,6
293623634,14000,晨哥 我来啦,4
861138545,15880,来啦来啦，来看魏晨啦,3
2854465370,15116,第一,2
1286222137,15208,魏晨,1
4112189007,16286,这个标题啊，真的很吸引人呐,12
3216561250,16085,魏晨我来啦,9
2692749861,16095,来看小宝和小米了,2
727210951,16969,来了来了,3
960064078,16317,5656565656886,1
2165744932,17203,魏晨有孩子了吗？不是结婚没多久吗？,2
1836504540,17000,来了,
1837383496,17000,来了,
3608162743,18000,终于更新了,3
2259161563,18539,晨哥 我来啦,1
185986889,18091,哈哈,2
1143648445,18100,喜欢😍,
3545322468,19118,Ben怎么被画成这样,6
3677424851,19226,来看魏晨！！！,3
3710617757,19102,三刷,
4285356688,19226,来看魏晨！！！,
2100261292,20559,爸爸,
530471389,21788,能赚钱还能照顾家，开玩笑的吧,69
381362257,22215,女大学生来报道了,3
3802720809,22539,第一,2
2915232137,23000,来啦,2
3695035695,23137,准时收看,
2802382622,24000,怎么才27分钟,1
2909392586,25934,魏晨我来啦！！！！！！,4
1741687389,25000,喜欢这个节目,4
146568404,25732,Ben怎么被画成这样,1
2701442498,26000,来啦来啦,2
763669674,26856,我是来找老师的,
1678275391,26158,来看魏晨,2
1065121120,27000,每期不一样嘉宾？,5
3425841450,27000,每期不一样嘉宾？,4
2030001788,27000,每期不一样嘉宾？,3
1740962666,28000,这只是一种画画的表现手法。。你们不知道那些街头画人像赚钱的也这样吗。。你能画你来。。,2
377800774,28496,第二,3
1131943958,28720,离婚吧,2
2418453351,28000,晨哥我来啦,2
2533731394,28088,来了,
3370277952,29293,喜欢这个节目,2
2915232137,29000,魏晨,1
3216561250,29121,晨哥 我来啦,
763669674,30034,都说吴老师居然是锁锁允儿外公,
1283372784,30919,都做梦呢吧，八面见光,
3908585431,30283,赚钱和顾家只能选一样,
2933210454,31811,感觉妈妈们的眼睛有泪,5
2774054492,31811,感觉妈妈们的眼睛有泪,1
518077762,32283,小米 小宝姐姐又来看你们两个小可爱了,3
1691117637,32176,每期不一样嘉宾？,2
3006502052,32181,Ben怎么被画成这样,
2315174593,32405,终于等到啦～,2
559384682,32290,魏晨我来啦！！！！！！,
1443124294,33451,那为什么要结婚呢……？,10
3244145074,33884,我来了,2
763669674,34891,呀啊  吴老师,1
1092253385,35504,换嘉宾了？,2
2439398773,35000,嘉宾不一样,1
2396867568,35440,这是采访,
