uid,time,content,v2_up_count
3210877057,0,开始以为是青铜，没想到是个王者,
3044991126,2212,来了来了，激动的心！！,1
1049180263,2001,说放松,1
3710206074,2962,芜湖,
411087634,7000,都很喜欢,
2090912802,11999,三喜姐姐来看你啦！,2
387287530,14069,很好看,1
3640640411,15697,爱看,
3523854640,33397,第一,2
1369558010,35000,来啦来啦,3
2875157564,36748,来了来了,3
237570165,36000,来了,2
370591680,38000,我来啦,3
2417784804,38000,牛 教教我,2
3751176591,38229,来咯,1
4123218743,40969,标题爱了,9
2190456710,41828,来看锁锁了,6
984782426,41100,爱看，想看，要看,6
1262874779,41100,爱看，想看，要看,5
1841380201,42920,第一第一来喽来喽,9
3542070340,43000,好紧张,3
814937664,43926,冲冲冲,
1472864556,43667,要学马立奥  没事没事没事,38
3014184289,45000,来啦来啦,3
738637591,45122,来了来了,
2718243614,46290,这两家合体拍100集我没开玩笑,609
2707708540,46853,来了来了,4
1892005848,47000,陈万博陈万博！！！👏👏👏,3
364032224,48263,来了来了,6
4265761120,49000,🔒太棒了,2
594621861,50939,来看锁锁了,3
2265352759,50007,来看锁锁,2
1892005848,51000,陈万博加油！,7
1623354115,51423,好看，爱看,4
320659292,51000,来了来了,6
1074027927,51660,锁锁！锁锁！,4
2425956727,52707,小小杨,5
4265761120,52000,超级喜欢🔒,4
2360573203,53613,阿宝宝ee来啦,1
3510872635,53007,阿宝宝粘着锁哥,1
2360573203,54323,阿宝宝圆溜溜的,10
39024902,56051,啊啊啊啊啊啊，认真听MC说话的阿宝宝真的好可爱,10
4265761120,56000,太暖心了,3
1863610569,58091,先看三喜,1
452750700,58101,三刷,
867941933,62879,真的很厉害诶 这些小朋友,257
452750700,62023,正能量满满的节目,2
2951952023,64884,直接出结果了,11
2047843544,64785,我侄子也叫高梓轩😅,4
477890178,65000,小小杨长大了呜呜呜,13
3390698654,70016,小小杨都长大了,27
275802973,71000,这个女孩子其他节目看到过，好像挺牛,832
3874773911,73707,第一次认识小小杨还是在师傅，我要跳舞了这个节目上,41
565633589,73977,喵喵,3
1550894659,74419,左下角眼镜好厚啊,2
18852108,75728,怎么没有肖家班只剩下锁锁了,9
370591680,76164,锁锁加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油,410
3436223893,77000,小小杨,7
3014184289,78000,锁锁冲啊啊啊啊啊啊,542
2415227770,78979,锁锁，小小杨加油加油加油加油加油,19
208021601,78000,锁锁冲啊啊啊啊啊啊,3
1472864556,79702,锁锁好棒,14
3463678727,81014,锁锁加油锁锁加油！,423
3384471050,82959,这期太精彩了,12
1594203593,82103,感觉都没有锁锁跳的好阿,12
2481913039,82000,锁锁最帅 阿姨爱你,6
4141834006,85149,小小杨是谁？,14
3240595887,85915,加油锁锁,9
2896148883,86895,锁锁,4
2425956727,87916,杨佳豪肖鳞儿加油,374
396459383,87000,小小杨是谁的孩子,258
1550450410,88529,锁锁加油,4
3340349092,89806,锁锁加油鸭,9
3663908133,89049,小小杨长大了,6
664869906,90039,加油加油！,6
719640975,90015,穿白衣服的好帅,3
2905319877,91191,看过这街的应该知道小小杨,9
953766723,91000,好喜欢那个黄色条纹衣的男孩,8
759222381,91000,锁锁好棒,
3836265039,92000,加油锁锁,3
2914951871,92160,锁锁加油,3
3981090647,93105,锁锁小小杨加油,4
3512269798,94000,小小杨参加过师傅我要跳舞了第一季,1
1472864556,94205,这个小小杨有点可爱,445
1892005848,95000,哇哇哇！陈万博！！！,4
738637591,95257,承包空瓶~~,4
2274148396,95000,第四次看PK细节,1
155699309,96000,高邑晨也是肖家班的,4
986677850,97999,我们的主角锁锁,12
3384471050,97981,加油,1
2023012747,98000,就是他！,3
2085292454,98703,没人啊,3
897375767,98310,是的。,
370591680,99788,锁锁加油,9
1661519913,99108,16，8对8呢，特邀嘉宾还挺想看的,
3340349092,100814,锁锁加油鸭,12
33575473,100157,小小杨 之前参加过儿童街舞类综艺，那时候比现在小,7
2390850857,101234,小小杨这么小，几岁啦,1
660983380,101000,小小杨是谁,1
2626169289,105000,这个综艺很火呀,1880
735737829,105210,啊啊啊啊 锁锁,18
510498063,105065,我们的主角锁锁,13
1735389828,105874,小小杨好可爱,16
2317105745,106000,一号还挺帅,
2296321007,108000,师傅我要跳舞了有锁锁和小小杨,27
2854635129,109000,前面的 这个综艺很火 我的xhs全是,678
