uid,time,content,v2_up_count
1887549248,0,第一第一,1
947637874,0,来啦第一,
4152163292,0,11:57第一,
133225401,1000,赵爸爸我来了,1
2194319807,2000,来啦来啦，来看可乐和大船,5
358715636,2000,第一,3
1061180188,2386,不准时,3
1211940752,2011,大船我来啦,4
1276787898,2000,第一,2
133225401,3000,这集泪点啊！,2
4155998608,3000,武桐晞宝宝姐姐来了,2
414108922,3991,第一,2
2633416796,3000,来了,1
2911264641,3000,来了来了了,
3469498393,4818,第一,3
3466934415,4000,第一,2
1250433648,4075,来了来了,1
69668859,4000,第一,2
569034805,4080,第一！！,1
3712095055,4848,第一,
300133423,5458,来了,3
2918521949,5000,大船来啦,1
1733474114,5021,第一！,3
1523410268,5137,来了！,1
2954695805,5462,来了来了,1
1004494192,5058,来了,
2777993500,6007,来了,2
1396003338,6022,第一,1
661576910,6010,来啦来啦,
249516510,6004,来了,1
1027691259,6768,第一,
2498365691,6206,来了第一,
1777182122,7027,来喽来喽,2
3810314617,7000,来啦来啦,1
1576370347,7852,第一,2
3944781325,7435,大船我来了,
404839892,7390,宝宝宝宝宝宝宝ee来啦,
1943848207,7186,可乐可乐,1
441404121,8157,大船大船，姐姐来啦,2
4063046023,8126,喜欢大船一家,1
2869205749,8782,第一 宝贝们我来了,1
3840305311,8264,来啦,
2565016841,8559,第一,1
3078459778,8000,第一,
1174183534,9000,可乐，姐姐来啦！,2
553014384,9302,来看可乐啦,1
2074778834,9000,来了，吃饭看,1
825672858,9000,来啦,
2924927704,9001,来了来了,1
2469186832,9487,第一,
1677595237,10048,来了,
846863444,10075,第一,
843297476,10000,第一,
3283843429,11000,来啦来啦 从大学到毕业 现在在工作了哈哈哈哈午休时间也要看爸爸当家,5
2298405289,11738,来看看神奇预告的后续,2
1780952686,11456,来了,
3499339310,12290,大船来了,
4155998608,12000,武艺武艺,1
3835385627,12799,我还可以是那个武艺了,
411741888,12407,大船 姐姐来看你啦！,
1542176084,12671,大船ee来了,
3652942496,12119,来啦来啦,
4242277371,13000,让我看看怎么个事,2
190428853,13325,来啦,2
1188414680,13127,第一,1
3301942883,13602,第一,
2507369818,14000,来了来了,1
438585948,14000,来挺早啊，ee们,
4181097238,15000,后期制作太精彩了,4
1722785097,15258,魏晨我来了,2
1059442063,15170,大船可乐姐姐来啦,
3808561174,15822,第一第一,2
362327863,15178,大船宝贝、,1
1874538715,16876,第一,2
4112946882,16213,我来也,1
3480417966,16310,男大正在吃饭,1
1576363474,16328,来了来啦,
4097822433,17000,可乐姐姐来啦,1
1959806990,17549,来了,1
3676686911,17168,大船我来啦,
1571753258,17745,大船姐姐来了,
1780952686,17694,第一,
3044859290,18261,大船一家超喜欢的,
