uid,time,content,v2_up_count
605271915,0,肖杰家在53分,5
3625985039,0,直接跑着来的阿sa，哈哈,1
682823157,0,小孩子生气的原因多了去了,
3962764320,18,第一,
724527200,0,允儿太可爱了,
337170497,1000,谁能想到我为了等开播 外卖到了我都要等12点边吃边看,7
414108922,1996,第一,20
1410257315,1000,第一第一,3
521451413,1717,第一！,
3299777730,2293,看到标题好热血，小宝好棒,1
3528867082,3622,看标题！小宝说话了！,77
3366223597,3622,看标题！小宝说话了！,66
185986889,3012,来啦,1
3258880651,4000,时长不够看我太喜欢这节目了,7
705853175,4763,第一！！哈哈哈哈哈 就喜欢你的不准时,5
2537092293,4000,时长不够看我太喜欢这节目了,4
1701792732,4000,想看锁锁和允儿参加隔壁的兄妹综艺,3
2883616123,4000,时长不够看我太喜欢这节目了,
1926454232,4000,时长不够看我太喜欢这节目了,24
2901506225,5000,来了 来了 我一个单身🐶天天看这,6
609788396,5000,来啦来啦,3
1545691439,5270,来看小米小宝西西及允儿锁锁,
1738707634,5143,来啦,1
946814652,5068,打卡,
1085698116,6000,来Il,2
1076764971,6011,第一,1
3868913875,6254,来看晨哥啦,
1185812474,6449,来了,1
1573229223,6450,来了,
260078317,6206,卡点 立马来,
1058298431,7060,标题！！！,2
552580366,7841,来了,4
3079155779,7473,来了来了,2
3044991126,7342,来了来了哟,
3676084176,7272,来了,1
1688216758,7000,允儿宝贝我来了,
660017461,8875,来看新节目啦～,2
3090235046,8733,哈啊啊啊啊啊啊啊,2
2994254801,8074,看标题！小宝说话了！,2
1540695420,8475,看标题！小宝说话了！,1
3201381434,8000,来了,2
2035394145,9451,不是第一,4
1045663525,9522,来啦,2
3626214519,9555,标题我爱了，小宝说话了,
474724833,9003,谁能想到我为了等开播 外卖到了我都要等12点边吃边看,
185986889,9618,来啦,1
1620755413,9437,时长不够看我太喜欢这节目了,1
1097045434,10575,来了来了,24
2767470519,10112,来了 来了 我一个单身🐶天天看这,1
2926982425,10917,来啦,3
4115485917,10000,来喽,
1283347533,10000,第一58,1
4256423094,10082,来啦,
476602382,11855,锁锁来了,4
1693916209,11337,看标题！小宝说话了！,1
1029547483,11083,来了,2
1568915697,11140,看标题！小宝说话了！,1
2994254801,11087,时长不够看我太喜欢这节目了,
1435682422,11000,来了，允儿,1
3839290728,12000,来啦来啦,3
4008099530,12000,她来了,2
1181700168,12191,小宝啊。,
4061450548,12019,看标题！小宝说话了！,
2757706356,12096,第一,1
986775480,12008,这个综艺真的很下饭,
2984232006,13452,又只有一期？,9
3212485913,13352,来啦来啦LZY,5
224757066,13429,标题！标题！小宝！,
4209191281,13765,来哦,2
2720251661,13976,终于等到你,
3551467504,13586,来了,
563325210,14000,现在一期都只有一集了嘛,2
1423528427,14144,看完第二季来的,
3552429334,14000,来了 允儿,1
3658686431,14880,来啦,
3675488600,14000,来了,
2590408642,15592,来啦,2
3758891569,15063,小米，小宝  来啦,
71002449,15054,"来了来了来了,时长棒棒的。",
1620755413,15441,来了来了,2
2250184799,16006,西西  米米  姐姐来了,1
3039797072,16541,这进度条……,1
3439279158,16167,来了,1
1400849994,16167,来了,
597039486,17217,来了来了,11
2194319807,17851,来啦来啦,3
3842357657,17099,终于上线了，等了好几年了,1
2331553339,17000,02分 …………！！！！,2
3661736417,17000,准时收看允儿小可爱,1
629627921,18066,为什么六七期没有上下集了,3
3541628328,18678,来咯,4
1900030853,18898,又只有一期？,
2698589491,18000,看肖杰,1
3997746186,18893,来咯,2
2785520499,19184,小宝说话了！！！,
4008099530,19000,真多人了已经,1
1189719159,19858,芜湖,
994078617,19077,我很愿意看本爸一家,
1731495159,19297,来了,
2126069764,19612,来了,
1722785097,20103,魏晨 我来啦,4
758707945,20330,来了来了,1
3752247236,20252,小米宝贝贴贴,
2193690613,21113,为什么这么短啊,2
1255969060,21186,来了来了,
1379952013,21000,来啦,1
928593124,22359,小米，小宝  来啦,1
462212261,22582,来了,3
1180059586,22781,看看小宝,1
1919724269,22233,来了,
463605659,23167,来了,2
1772888020,23185,小宝说话啦！,1
337487178,23565,来了来了,2
729313477,23106,来了,
4253379360,23000,出大的打杂的心态饭反常dxx💰🍻😗😗🎂➕,
3129924771,24000,李晓海,
2766892787,25107,啊啊啊啊啊小宝！！！喜欢标题,3
4027884255,25890,第几不知道,4
2011940416,25177,我真快哈哈哈哈哈,2
1078384766,25117,西西  米米  姐姐来了,
1400849994,26000,来看允儿宝贝,4
494269312,26338,来啦来啦,1
2798076889,26427,又只有一期？,
2261148280,27895,来看效成,2
727729580,27948,时长可以,
367328414,27620,来啦,1
3388835320,27155,为什么肖杰家镜头那么多,
1677595237,27090,来了,
1207057810,28894,看看小宝,3
3313591377,28078,为什么六七期没有上下集了,
1284347988,29000,加更！！！！,1
715529396,29086,有谁是再看一遍,
3922066720,29011,终于等到,
2177087769,30000,来看肖杰咯,3
4264860377,30000,这个有点长啊！,1
2796749976,30393,来了,2
2098966815,30843,来啦来啦,
2355538359,30506,终于抢到前排,
849635413,31664,来了来了,2
3846734353,32515,来了来了,3
1631243246,32890,允儿我来了！！！,1
4113050265,33441,终于来了，特别喜欢肖杰那一家。还有小米一家。,2
4061450548,34296,小宝，小米，我的云养儿女,
3823761700,34000,来了来了！,2
3975431554,35993,来看肖杰咯,3
939061348,35949,小宝小米,1
1410257315,35000,11点56,1
475228981,36466,耶耶耶,1
1185812474,36742,我是第一哦  哈哈哈,1
864085817,36836,来看肖杰咯,
1426336862,36842,我爱芒果不准时,
3574609594,37948,来啦来啦,2
678612213,37000,喜欢允儿和Ben一家,1
2515121814,38006,来看锁哥啦。,3
432952708,38000,来了,1
505508957,38108,来看肖杰咯,1
3970506028,38108,来看肖杰咯,
1614764863,38396,第一来了，不准时,
4200391111,39840,这标题不错诶！小宝成功开口说话！,2
2438704125,39000,为了允儿来看,2
2272565607,39000,肖杰,1
3515946327,39410,超爱小宝,
2790963749,39123,本爸本吧，我来了,
217166565,40323,喜欢不准时,3
3094583763,40766,来了来了,
4029139985,41252,来了来了,1
1500408014,41267,来了来了,
2194319807,42340,终于来啦、,1
1869554871,42267,来看小米！！！！,
539516191,43000,来看允儿了。可爱懂事,3
3212485913,43607,来了呦LZY 幼师+1,1
3074164968,43123,为了看豆苗,
3806578811,43225,第一第一,
3805909690,44098,允儿,1
4157836379,45283,允儿允儿 姐姐来了,
1573229223,45594,魏晨,2
3571197563,45000,来了,1
286830578,45398,小宝小米姐姐来了,
1748288539,45398,小宝小米姐姐来了,
1523509135,45373,开心,
928593124,46359,来看小米！！！！,1
3373852030,46727,来看小宝,2
3899040401,46812,来了来了,
4074916979,46086,来看小米小宝,
286830578,46359,来看小米！！！！,
416702279,47066,多放西西 谢谢,2
2143461255,47889,我要看汪汪队~,
1601194697,48754,晨哥我来看你了,3
1007520597,48000,帅哥！！！,1
3239718226,48000,ben爸我来了,
3119849162,49000,来看肖杰,2
2136700092,49159,小米小宝！,
939061348,50035,这标题不错诶！小宝成功开口说话！,
118092476,50000,魏晨魏晨,17
2216098872,50315,来看允儿了。可爱懂事,
3937932529,50873,来了,
11636037,51313,小宝小米允儿我来了,5
509788299,51313,小宝小米允儿我来了,1
3863820935,51915,来了,1
1785013208,51730,阿宝,
2194319807,51990,超级喜欢这个节目,
764712772,53000,这就是街舞肖杰,1
303372004,53975,多放西西 谢谢,2
4194881570,53000,来了来了,3
1106428848,53037,喜欢肖杰！！！,1
1238579357,53975,多放西西 谢谢,1
3923076368,53975,多放西西 谢谢,
2123750822,54547,小米小宝姐姐来了,2
776023602,54000,魏晨魏晨我来了,
2682342068,54000,魏晨真是清爽帅哥,4
118092476,55000,晨哥我来了,7
2107987543,55266,晨晨,3
679255002,55111,帅哥！！！,1
758982168,56212,四个家庭都好喜欢😍,1
4091127398,56635,晨哥晨哥,11
3316511047,56956,我也喜欢看肖杰家,1
650402372,56000,小米小宝西西我来啦！！！！！,
1524025898,56956,我也喜欢看肖杰家,1
2602256405,57396,魏晨真是清爽帅哥,3
2699665126,57000,允儿锁锁姐姐,
3971993712,58015,晨哥好帅,3
1195194632,58915,肖杰一家每次都是情侣装耶,1
2885963980,58594,西西宝贝姐姐来了,2
1844418425,58151,小宝小米允儿我来了,
1352523613,58150,加更80%都是重复的。。。。。,1
2602256405,59405,晨晨,2
4004220042,59498,哈哈哈,2
2690081346,59470,豆豆,
2877006293,60000,允儿 小宝 我来啦,
4027884255,60442,哈哈哈,
3044991126,61460,每期的情侣装都好好看,
2602256405,61417,帅哥！！！,
2682342068,61550,魏晨真是清爽帅哥,3
3549688534,61000,第一,
2124831141,62250,小宝小米允儿我来了,1
632532358,62608,李艾头发梳起来 绝绝子,1
3794162960,62733,这标题不错诶！小宝成功开口说话！,
111198210,62914,也来啦,1
2035112958,62426,多放西西 谢谢,
4040569321,62006,小米小宝,
3450513577,63085,来看魏晨啦！！！,5
2908970156,63000,多放小米小宝,9
46619664,63266,我也喜欢看肖杰家,1
2247649989,63494,允儿，我来了,3
3677424851,63085,来看魏晨啦！！！,1
1966998984,63000,多放小米小宝,
286830578,64719,锁锁允儿姐姐来了,1
1748288539,64719,锁锁允儿姐姐来了,1
1952996867,64256,小宝小米我来了,
3765744455,64000,小米小米,1
111198210,64533,每周的快乐,
1199176312,65000,都穿情侣装耶,2
776023602,65000,笑的好开心啊魏晨,2
1078384766,65259,西西宝贝姐姐来了,
118092476,66000,魏晨好帅,5
3298773485,66905,灿妈变漂亮了❤️,3
286830578,66905,灿妈变漂亮了❤️,
2952339585,67000,小宝姐姐来了,2
286830578,67031,每一期都有情侣装哎,
1276506616,67000,三刷肖杰家,1
