sn,year,title,作者,DOI,study,location,longitude,latitude,elevation,MAT,MAP,habitat,substrate,substrate2,NVP,family,species,MWC,type
1,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2500,saturated
2,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2825,saturated
3,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,3435,saturated
4,2002,贡嘎山冷杉纯林地被物及土壤持水特性,"程金花,张洪江,余新晓,张东升,赵玉涛",10.133322/j.1522.2002.03.010,2,四川省甘孜州,102.25,30.33,2850,2.75,1600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2845,saturated
5,2003,三峡库区三种林下地被物储水特性,"程金花,张洪江,史玉虎,程云,祁生林,何凡,潘磊",0.13287/j.1001-9332.2003.0403,3,长江三峡地区,116.331253,39.911146,NA,17.7,1100,terrestrial,terricolous,forestfloor,bryophytes,Funariaceae,Funaria hygrometrica,2838,saturated
6,2003,三峡库区三种林下地被物储水特性,"程金花,张洪江,史玉虎,程云,祁生林,何凡,潘磊",0.13287/j.1001-9332.2003.0403,3,长江三峡地区,116.331253,39.911146,NA,17.7,1100,terrestrial,terricolous,forestfloor,bryophytes,Funariaceae,Funaria hygrometrica,2423,saturated
7,2003,三峡库区三种林下地被物储水特性,"程金花,张洪江,史玉虎,程云,祁生林,何凡,潘磊",0.13287/j.1001-9332.2003.0403,3,长江三峡地区,116.331253,39.911146,NA,17.7,1100,terrestrial,terricolous,forestfloor,bryophytes,Pottiaceae,Anoectangium aestivum,3031,saturated
8,2003,三峡库区几种林下苔藓的保水功能,"张洪江,程金花, 史玉虎 ,祁生林,何凡,潘磊 ,程云",NA,25,长江三峡地区,110.95,30.83,382,NA,NA,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,570,saturated
9,2003,三峡库区几种林下苔藓的保水功能,"张洪江,程金花, 史玉虎 ,祁生林,何凡,潘磊 ,程云",NA,25,长江三峡地区,110.95,30.83,382,NA,NA,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,480,saturated
10,2003,三峡库区几种林下苔藓的保水功能,"张洪江,程金花, 史玉虎 ,祁生林,何凡,潘磊 ,程云",NA,25,长江三峡地区,110.95,30.83,382,NA,NA,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,610,saturated
11,2005,川西亚高山桦木林的林地水文效应,"张远东,刘世荣,马姜明,史作民,刘兴良",NA,4,四川省阿坝藏族羌族自治州理县米亚罗林区,105.58,34.4,2760,12.2,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,9450,saturated
12,2006,祁连山林区苔藓垂直分布特征与水文功能分析,"车宗玺,刘贤德,敬文茂,王顺利,罗龙发",0.13870/j.cnki.stbcxb.2006.06.018,5,甘肃省张掖市祁连山国家级自然保护区,100,38.4,2950,0.5,435.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,6194.4,saturated
13,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,7393,saturated
14,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,7096,saturated
15,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,5885,saturated
16,2008,川西亚高山几种天然林下苔藓层的持水特性,"徐振锋,胡庭兴,张远彬,王开运,张力,鲜骏仁 ",NA,6,四川省绵阳市平武县,104.13,33.33,3200,2.7,859.5,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2794,saturated
17,2009,川西亚高山针阔混交林与针叶纯林苔藓凋落物层持水性能研究,"郭伟,文维全,黄玉梅,张健,张丹桔,刘洋,刘旭,王伟",0.13870／j.cnki.stbcxb.2009.06.049,7,四川省阿坝州,102.95,31.33,3050,9,1100,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4792,saturated
18,2009,川西亚高山针阔混交林与针叶纯林苔藓凋落物层持水性能研究,"郭伟,文维全,黄玉梅,张健,张丹桔,刘洋,刘旭,王伟",0.13870／j.cnki.stbcxb.2009.06.049,7,四川省阿坝州,102.95,31.33,3050,9,1100,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4671.7,saturated
19,2009,川西亚高山林区不同土地利用与土地覆盖的地被物及土壤持水特征,"张远东 刘世荣 罗传文,张国斌,马姜明",NA,8,甘肃省张掖市祁连山国家级自然保护区,102.66,36.88,2760,0.5,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,750,saturated
20,2014,四川盆周西缘山地典型人工林下苔藓和凋落物的持水特性,"肖玖金,马海燕,张晓庆,张健,朱必清",NA,8,四川省成都市都江堰市,103.146,30.73,876,15.2,1243,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,3203.32,saturated
21,2014,四川盆周西缘山地典型人工林下苔藓和凋落物的持水特性,"肖玖金,马海燕,张晓庆,张健,朱必清",NA,8,四川省成都市都江堰市,103.146,30.73,720,15.2,1243,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,3379.71,saturated
22,2014,四川盆周西缘山地典型人工林下苔藓和凋落物的持水特性,"肖玖金,马海燕,张晓庆,张健,朱必清",NA,8,四川省成都市都江堰市,103.146,30.73,720,15.2,1243,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2137.55,saturated
23,2014,四川盆周西缘山地典型人工林下苔藓和凋落物的持水特性,"肖玖金,马海燕,张晓庆,张健,朱必清",NA,8,四川省成都市都江堰市,103.146,30.73,870,15.2,1243,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,1722.72,saturated
24,2014,西藏色季拉山急尖长苞冷杉林下苔藓持水性能研究,"向巴曲珍,葛立雯,王瑞红,潘刚",10.13869/j.cnki.rswc.2014.03.057,9,西藏藏族自治区林芝地区林芝县色季拉山阴坡,92.7,29.63,3950,-0.73,1134.1,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,2148,saturated
25,2014,甘肃省兴隆山天然林下苔藓凋落物蓄积量及持水特性,"李国林,魏强,凌雷,张广忠,柴春山",10.13961/j.cnki.stbctb.2014.03.059,10,甘肃省兰州市,104.16,35.96,2477,NA,600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,777,saturated
26,2014,甘肃省兴隆山天然林下苔藓凋落物蓄积量及持水特性,"李国林,魏强,凌雷,张广忠,柴春山",10.13961/j.cnki.stbctb.2014.03.059,10,甘肃省兰州市,104.16,35.96,2475,NA,600,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,1182,saturated
27,2014,祁连山东段高寒灌丛地被物与土壤的水文特征,"赵锦梅,徐长林,马亚萍",10.11707/j.1001-7488.20141020,11,甘肃省张掖市祁连山国家级自然保护区,102.55,37.21,3250,-0.1,416,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,5060,NA
28,2014,祁连山高寒灌丛苔藓持水性能,"刘章文,陈仁升,宋耀选,韩春坛",10.13826/j.cnki.cn65-1103/x.2014.04.007,12,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3286,2,448,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,7825,saturated
29,2014,祁连山高寒灌丛苔藓持水性能,"刘章文,陈仁升,宋耀选,韩春坛",10.13826/j.cnki.cn65-1103/x.2014.04.007,12,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3286,2,448,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,3869,saturated
30,2014,祁连山高寒灌丛苔藓持水性能,"刘章文,陈仁升,宋耀选,韩春坛",10.13826/j.cnki.cn65-1103/x.2014.04.007,12,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3286,2,448,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,6209,saturated
31,2014,祁连山高寒灌丛苔藓持水性能,"刘章文,陈仁升,宋耀选,韩春坛",10.13826/j.cnki.cn65-1103/x.2014.04.007,12,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3286,2,448,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4548,saturated
32,2014,祁连山高寒灌丛苔藓持水性能,"刘章文,陈仁升,宋耀选,韩春坛",10.13826/j.cnki.cn65-1103/x.2014.04.007,12,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3286,2,448,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,7152,saturated
33,2014,西藏色季拉山急尖长苞冷杉林下苔藓持水性能研究,"向巴曲珍,葛立雯,王瑞红,潘刚",10.13869/j.cnki.rswc.2014.03.057,13,西藏藏族自治区林芝地区林芝县色季拉山阴坡,92.7,29.63,3950,-0.73,1134.1,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,136500,saturated
34,2015,黔滇石漠区苔藓植物物种多样性及其水土保持作用,"代玉,张天汉,王智慧,张朝晖",10.15889/j.issn.1002-1302.2015.04.119,14,贵州省兴义市,129.3,24.8,1325,17,1150,terrestrial,corticolous,corticolous,bryophytes,Brachytheciaceae,Brachythecium albicans,11630,NA
35,2015,黔滇石漠区苔藓植物物种多样性及其水土保持作用,"代玉,张天汉,王智慧,张朝晖",10.15889/j.issn.1002-1302.2015.04.119,14,贵州省兴义市,129.1,24.8,1325,17,1150,terrestrial,corticolous,corticolous,bryophytes,Anomodontaceae,Anomodon minor,5030,NA
36,2015,黔滇石漠区苔藓植物物种多样性及其水土保持作用,"代玉,张天汉,王智慧,张朝晖",10.15889/j.issn.1002-1302.2015.04.119,14,贵州省兴义市,116.2,25,1150,17,1150,terrestrial,corticolous,corticolous,bryophytes,Brachytheciaceae,Brachythecium albicans,12100,saturated
37,2015,黔滇石漠区苔藓植物物种多样性及其水土保持作用,"代玉,张天汉,王智慧,张朝晖",10.15889/j.issn.1002-1302.2015.04.119,14,贵州省兴义市,114.7,25,1150,17,1150,terrestrial,corticolous,corticolous,bryophytes,Anomodontaceae,Anomodon minor,6930,saturated
38,2015,黔滇石漠区苔藓植物物种多样性及其水土保持作用,"代玉,张天汉,王智慧,张朝晖",10.15889/j.issn.1002-1302.2015.04.119,14,云南省昆明市石林彝族自治县,187.4,24.9,1800,15.6,1150,terrestrial,corticolous,corticolous,bryophytes,Brachytheciaceae,Brachythecium albicans,15600,saturated
39,2015,黔滇石漠区苔藓植物物种多样性及其水土保持作用,"代玉,张天汉,王智慧,张朝晖",10.15889/j.issn.1002-1302.2015.04.119,14,云南省昆明市石林彝族自治县,188.2,24.9,1800,15.6,1150,terrestrial,corticolous,corticolous,bryophytes,Anomodontaceae,Anomodon minor,8370,saturated
40,2015,喀斯特石漠化山区苔藓植物水分吸收特征,"龙朝波,张朝晖",10.13961/j.cnki.stbctb.2015.02.002,15,贵州省贵阳市花溪区,106.65,26.33,1150,NA,NA,terrestrial,corticolous,corticolous,bryophytes,Pottiaceae,Barbula nigrescens,9439,saturated
41,2015,喀斯特石漠化山区苔藓植物水分吸收特征,"龙朝波,张朝晖",10.13961/j.cnki.stbctb.2015.02.002,15,贵州省贵阳市花溪区,106.65,26.33,1150,NA,NA,terrestrial,corticolous,corticolous,bryophytes,Hypnaceae,Eurohypnum leptothallum,11101,saturated
42,2015,喀斯特石漠化山区苔藓植物水分吸收特征,"龙朝波,张朝晖",10.13961/j.cnki.stbctb.2015.02.002,15,贵州省贵阳市花溪区,106.65,26.33,1150,NA,NA,terrestrial,corticolous,corticolous,bryophytes,Pottiaceae,Hyophila involuta,9034,saturated
43,2015,喀斯特石漠化山区苔藓植物水分吸收特征,"龙朝波,张朝晖",10.13961/j.cnki.stbctb.2015.02.002,15,贵州省贵阳市花溪区,106.65,26.33,1150,NA,NA,terrestrial,corticolous,corticolous,bryophytes,Anomodontaceae,Anomondon minor subsp.integerrimus,11254,saturated
44,2015,喀斯特石漠化山区苔藓植物水分吸收特征,"龙朝波,张朝晖",10.13961/j.cnki.stbctb.2015.02.002,15,贵州省贵阳市花溪区,106.65,26.33,1150,NA,NA,terrestrial,corticolous,corticolous,bryophytes,Grimmiaceae,Grimmia　decipiens,6754,saturated
45,2015,ＰＡＭ与苔蘇对闽北锥栗园水土保持效果的影响研究,魏箫萧  ,NA,16,福建省建缻市水源乡,118.73,27.13,303,17,1740,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4856,saturated
46,2015,ＰＡＭ与苔蘇对闽北锥栗园水土保持效果的影响研究,魏箫萧  ,NA,16,福建省建缻市水源乡,118.73,27.13,303,17,1740,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4879,saturated
47,2015,ＰＡＭ与苔蘇对闽北锥栗园水土保持效果的影响研究,魏箫萧  ,NA,16,福建省建缻市水源乡,118.73,27.13,303,17,1740,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,5174,saturated
48,2015,ＰＡＭ与苔蘇对闽北锥栗园水土保持效果的影响研究,魏箫萧  ,NA,16,福建省建缻市水源乡,118.73,27.13,303,17,1740,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,5547,saturated
49,2016,喀斯特石漠化土壤结皮层藓类植物水分动力学特性,"谢斐,杨再超,匡其羽,左经会,杨志江",10.16595/j.1671-055X.2016.04.001,17,贵州省六盘水市,104.83,26.59,1985,18,1200,terrestrial,biocrust,biocrust,bryophytes,Pottiaceae,Barbula ditrichoides,5800,NA
50,2016,喀斯特石漠化土壤结皮层藓类植物水分动力学特性,"谢斐,杨再超,匡其羽,左经会,杨志江",10.16595/j.1671-055X.2016.04.001,17,贵州省六盘水市,104.83,26.59,1985,18,1200,terrestrial,biocrust,biocrust,bryophytes,Brachytheciaceae,Brachythecium piligerum,4600,NA
51,2016,喀斯特石漠化土壤结皮层藓类植物水分动力学特性,"谢斐,杨再超,匡其羽,左经会,杨志江",10.16595/j.1671-055X.2016.04.001,17,贵州省六盘水市,104.83,26.59,1985,18,1200,terrestrial,biocrust,biocrust,bryophytes,Bryaceae,Bryum algovicum,7051,NA
52,2017,独山泥炭藓沼泽湿地五种泥炭藓植物持水特性研究,"麻俊虎.李大华.,彭涛, 李飞, 文浩斌2,莫秀模, 周建忠",10.13271/j.mpb.015.001170,39,贵州独山县,107.67,26,1628,14.5,1301,terrestrial,terricolous,NA,bryophytes,Sphagnaceae,Sphagnum palustre,16980,saturated
53,2017,独山泥炭藓沼泽湿地五种泥炭藓植物持水特性研究,"麻俊虎.李大华.,彭涛, 李飞, 文浩斌3,莫秀模, 周建忠",10.13271/j.mpb.015.001170,39,贵州独山县,107.67,26,1628,14.5,1301,terrestrial,terricolous,NA,bryophytes,Sphagnaceae,Sphagnum multifibrosum,26110,saturated
54,2017,独山泥炭藓沼泽湿地五种泥炭藓植物持水特性研究,"麻俊虎.李大华.,彭涛, 李飞, 文浩斌4,莫秀模, 周建忠",10.13271/j.mpb.015.001170,39,贵州独山县,107.67,26,1628,14.5,1301,terrestrial,terricolous,NA,bryophytes,Sphagnaceae,Sphagnum platyphylloides,19840,saturated
55,2017,独山泥炭藓沼泽湿地五种泥炭藓植物持水特性研究,"麻俊虎.李大华.,彭涛, 李飞, 文浩斌5,莫秀模, 周建忠",10.13271/j.mpb.015.001170,39,贵州独山县,107.67,26,1628,14.5,1301,terrestrial,terricolous,NA,bryophytes,Sphagnaceae,Sphagnum ovatum,26610,saturated
56,2017,独山泥炭藓沼泽湿地五种泥炭藓植物持水特性研究,"麻俊虎.李大华.,彭涛, 李飞, 文浩斌6,莫秀模, 周建忠",10.13271/j.mpb.015.001170,39,贵州独山县,107.67,26,1628,14.5,1301,terrestrial,terricolous,NA,bryophytes,Sphagnaceae,Sphagnum sub secundum,22160,saturated
57,2019,色季拉山东坡不同海拔两种针叶林下苔藓层持水特性,"陈甲瑞,王小兰",10.13324/j.cnki.jfcf.2019.06.005,18,西藏东南部林芝地区林芝县,92.7,29.63,3900,3,1301,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,4837.4,saturated
58,2020,贵州麻若平台泥炭藓沼泽中泥炭藓持水特性及其与土壤营养元素关系研究,"何春梅,张朝晖,王智慧 ",NA,19,贵州省黔南布依族苗族自治州,106.87,26.33,1583,14.8,1060,aquatic,water,water,bryophytes,Sphagnaceae,mixed,19538,saturated
59,2020,川西亚高山川滇高山栎灌丛地被物与土壤持水性能,"杨益帆,胡宗达,李亚菲,余昊,吴德勇,欧定华",NA,26,四川省阿坝州,103.06,31.91,3850,3,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,30000,saturated
60,2020,川西亚高山川滇高山栎灌丛地被物与土壤持水性能,"杨益帆,胡宗达,李亚菲,余昊,吴德勇,欧定华",NA,26,四川省阿坝州,103.06,31.91,3850,3,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,43800,saturated
61,2020,川西亚高山川滇高山栎灌丛地被物与土壤持水性能,"杨益帆,胡宗达,李亚菲,余昊,吴德勇,欧定华",NA,26,四川省阿坝州,103.06,31.91,3850,3,850,terrestrial,terricolous,forestfloor,bryophytes,mixed,mixed,96800,saturated
62,2021,祁连山东段林区苔藓植物资源调查及蓄水能力模拟测定,"肖东,陵军成",10.13869/j.cnki.rswc.2014.03.057,20,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3850,2,448,terrestrial,terricolous,forestfloor,bryophytes,Timmiaceae,Timmia bavarica,4730,saturated
63,2021,祁连山东段林区苔藓植物资源调查及蓄水能力模拟测定,"肖东,陵军成",10.13869/j.cnki.rswc.2014.03.057,20,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3850,2,448,terrestrial,terricolous,forestfloor,bryophytes,Timmiaceae,Timmia comata,4853,saturated
64,2021,祁连山东段林区苔藓植物资源调查及蓄水能力模拟测定,"肖东,陵军成",10.13869/j.cnki.rswc.2014.03.057,20,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3850,2,448,terrestrial,terricolous,forestfloor,bryophytes,Timmiaceae,Timmia megapolitana,5182,saturated
65,2021,祁连山东段林区苔藓植物资源调查及蓄水能力模拟测定,"肖东,陵军成",10.13869/j.cnki.rswc.2014.03.057,20,甘肃省张掖市祁连山国家级自然保护区,103.76,37.91,3850,2,448,terrestrial,terricolous,forestfloor,bryophytes,Pottiaceae,Timmia systyliu,5020,saturated
