股票代码,统计日期,销售商品、提供劳务收到的现金,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出小计,投资活动产生的现金流量净额,偿还债务支付的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,净利润,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,财务费用,投资损失,现金的期末余额,现金的期初余额,间接法-现金及现金等价物净增加额
300013,2015/12/31,576645695.8,59377033.95,638233560.5,367889230.8,165513346.7,40281054.95,94464960.01,668148592.4,-29915031.87,33462327.08,60810477.25,110810477.3,-77348150.17,78000000,90829390.5,299017340.8,196140303.7,142709654.4,338849958,-108223910.2,25686679.65,5416577.73,5034856.23,-5414162.94,338849958,142709654.4,196140303.7
300013,2016/6/30,370725328.5,48273314.93,422823777.9,224785175.8,126736409.3,40785145.97,81392976.97,473699708.1,-50875930.13,484353.04,112328220.4,116330220.4,-115845867.4,169368302,176367813.7,-14667813.72,-180617511.4,338849958,158232446.6,4928347.51,15255055.04,6631851.15,5506949.3,-3295866.55,158232446.6,338849958,-180617511.4
300013,2016/12/31,863762723.7,60944324.96,928793487.2,432399194.8,226038922,64049729.37,172278200.8,894766046.9,34027440.28,37259717.44,147348021.7,153750022.7,-116490305.3,253384856.3,268374164.2,-41757187.15,-120203705.8,338849958,218646252.2,60413016.05,31450953.96,12758287.35,7692365.38,-6629712.84,218646252.2,338849958,-120203705.8
300072,2015/6/30,1151222956,38164046.83,1189387003,1020242601,88748793.02,100889027.2,260932863.4,1470813285,-281426282,33776565.56,107736192.4,107736192.4,-73959626.85,681400000,865996136.4,373706603.6,18320694.71,1233094484,1251415178,399852731.9,43869839.47,7581982.93,79227564.02,54559.71,1251415178,1233094484,18320694.71
300072,2015/12/31,3898007458,267512293.3,4165519751,3358838046,164348488.9,232633217.6,348969406.5,4104789159,60730591.75,32374532.87,263833300.3,262339486.8,-229964953.9,2003876490,2278472081,2093390513,1924156151,1233094484,3157250634,814413599.2,96767150.89,9513756.4,262643768,-876714.22,3157250634,1233094484,1924156151
300072,2016/6/30,4108614034,24563810.99,4137509600,4580399779,115520643.4,239002589,297703503.2,5232626514,-1095116914,68000,158951466.1,218513376.8,-218445376.8,744999550,1124642038,1801631862,488069571.1,3157250634,3645320205,790406985.8,71262166.76,5127081.09,155557108.1,290888.46,3645320205,3157250634,488069571.1
300072,2016/12/31,15065474510,122986103.2,15192792368,13619260003,213328617.2,551253562.7,487549757.7,14871391940,321400428.2,129000,258320378.1,344882288.8,-344753288.8,1452999550,2219715309,3026547221,3004470728,3157250634,6161721363,1634654158,143604021.7,10841342.52,371630670.6,-339714.18,6161721363,3157250634,3004470728
300131,2015/6/30,137551441.7,3542103.45,179438237.1,126449370.3,25361398.13,9055959.05,21142023.39,182008750.9,-2570513.76,166338872,1708195.84,25173245.96,141165626,235000000,271240121.6,-248414735.6,-108696831.8,148788589.9,40091758.1,4069761.17,3476755.25,3030946.89,6182216.83,-201342.94,40091758.1,148788589.9,-108696831.8
300131,2015/12/31,1847208083,50888180.69,1948677918,1918567280,56976098.61,29396682.46,103414446.3,2108354507,-159676589.3,166165069.1,12249256.2,168842452.6,-2677383.45,411411768.7,464622835.8,110863010.3,-51256230.4,148788589.9,97532359.48,37359425.77,9370693.22,10949301.55,13918751.28,-277537.46,97532359.48,148788589.9,-51256230.4
300131,2016/6/30,1238828325,66026060.93,1313294497,1175718902,53449465.61,33141560.42,76472950.74,1338782878,-25488381.07,4883962.2,16779900.44,30279900.44,-25395938.24,173594382,227223648,5538125.34,-44265112.65,97532359.48,53267246.83,100942329.4,1766168.12,3784326.94,10804165.38,-60000585.94,53267246.83,97532359.48,-44265112.65
300131,2016/12/31,4088020468,511895168.9,4609454101,4247203321,99338053.11,91975013.31,143942201.9,4582458590,26995511.82,188540180.7,55713536.16,226091722,-37551541.27,730080578.9,873898171.9,240930216.9,230378657.6,97532359.48,327911017.1,210166557.9,2945538.22,7036289.85,29844036.18,-63477317.49,327911017.1,97532359.48,230378657.6
300184,2015/12/31,971806088.1,8758321.77,981037765.3,940305443.1,45500585.93,38852518.93,37648788.82,1062307337,-81269571.53,269.19,19794101.27,23794101.27,-23793832.08,233095515.5,248549727.4,42467091.85,-55484685.39,111662616.2,56177930.79,41800161.1,7942020.04,3587579.13,7969947.46,1859896.67,56177930.79,111662616.2,-55484685.39
300184,2016/12/31,1683092926,9590343.64,1694519983,1547308523,54101351.43,44047323.27,48189394.38,1693646592,873390.89,90029665.39,20059140.86,322190888.1,-232161222.7,362913823.9,393618196,305625797.3,77082208.38,56177930.79,133260139.2,47349039.75,9970317.88,4291690.9,8077295.87,-1049218.91,133260139.2,56177930.79,77082208.38
300197,2015/6/30,996225491.6,17024366.41,1013249858,677199808.5,233908140.2,68148644.34,76779385.78,1056035979,-42786120.7,92660573.26,18674847.52,406803862.7,-314143289.4,740212500,879083821.5,926996175.3,570066764.7,742395907.8,1312462672,119820729.4,13277162.59,205514.13,71503121.32,-54238268.64,1312462672,742395907.8,570066764.7
300197,2015/12/31,2134018831,67343655.59,2201362487,1518935656,489398765.5,121913051.5,128015239.3,2258262712,-56900225.23,417156156.8,244349691.8,1289381824,-872225667.5,1760363288,1976602537,1350097485,420971629.4,742395907.8,1163367537,304101402.5,29350720.34,435137.18,150534563.4,-132064074.4,1163367537,742395907.8,420971629.4
300197,2016/6/30,1278875378,7014854.45,1285890232,872271011.1,317561311.2,70681966.35,233335785,1493850074,-207959841.6,278132256.8,287042255.3,824892305.4,-546760048.6,529378451.1,694393735.6,1046225461,291505585,1163367537,1454873122,178617622.2,17903676.2,1138146.54,83908202.7,-82077513.24,1454873122,1163367537,291505585
300197,2016/12/31,2873842142,54732223.51,2928574365,2186205116,691506584.3,175493921.1,502816596.5,3556022218,-627447852.3,482686418.8,354708801.9,1505748573,-1023062154,1713814568,1961255350,1760445643,109935703.5,1163367537,1273303241,528989745,38515790.1,6857376.63,180301504.2,-134731432.5,1273303241,1163367537,109935703.5
300240,2015/6/30,1124533231,16586647.43,1164249861,829476868.1,159206258.6,34156615.31,81035722.69,1103875465,60374396.36,1147082.43,37868057.24,49868057.24,-48720974.81,41275235.19,64530954.66,-344847.8,11079550.36,365774263.4,376853813.7,26330944.59,21016349.06,1800871.92,3760881.21,-992366.87,376853813.7,365774263.4,11079550.36
300240,2015/12/31,2375885334,69298755.71,2483284526,1806718689,312408400.7,60562281.38,111365855.8,2291055227,192229299.6,13980106,44124934.51,93568687.79,-79588581.79,149805090.6,191384453.1,-25425029.93,96429993.75,365774263.4,462204257.1,59004454.45,38144990.9,3962626.08,733576.21,-1542981.52,462204257.1,365774263.4,96429993.75
